runtime	role	ingress	promotion	cookie	batch	sock_buf	conns	connect_cc	bond	bitrate	rep	established	pkt_sent	core_total	sec_a	sec_b	rtt_ms	elapsed_s	cpu_user_ms	cpu_sys_ms	peak_rss_kb
glommio	listener	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	2	504	263296	273714	196	0	8.253	70.029	9569.5	29971.0	32624
glommio	caller	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	3	507	282777	282777	82	0	0.000	15.018	2780.8	7558.4	26524
glommio	listener	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	3	507	272931	282745	107	0	7.039	70.017	9416.1	28638.6	32116
glommio	caller	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	4	505	281472	281472	62	0	0.000	15.015	2727.9	7690.5	18772
glommio	listener	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	4	505	277323	281467	67	0	5.729	70.019	9126.4	25353.6	24788
glommio	caller	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	5	509	283921	283921	51	0	0.000	15.007	2924.2	7552.9	24972
glommio	listener	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	5	509	275316	283902	67	0	8.044	70.021	9749.7	25644.2	30336
glommio	caller	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	6	508	283249	283249	123	0	0.000	15.004	2665.2	8072.1	27152
glommio	listener	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	6	509	278334	283226	138	0	12.221	70.035	8906.7	36978.6	28196
glommio	caller	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	7	506	282166	282166	146	0	0.000	15.003	2905.3	7720.6	43520
glommio	listener	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	7	506	264269	282132	179	0	7.998	70.026	9819.3	34010.9	48320
compio	caller	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	1	512	287312	287312	451	0	0.000	10.176	2686.3	7459.0	61836
compio	listener	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	1	512	284845	287312	451	11	54.588	70.013	6076.4	11486.6	18296
compio	caller	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	2	512	285934	285934	789	0	0.000	10.111	2665.0	7408.8	28024
compio	listener	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	2	512	283479	285934	789	12	58.293	70.012	6046.0	10994.3	16912
compio	caller	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	3	512	287933	287933	200	0	0.000	10.243	2722.4	7472.3	58668
compio	listener	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	3	512	284735	287933	200	0	166.187	70.008	6129.6	11807.1	19484
compio	caller	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	4	512	289741	289741	218	0	0.000	10.313	2720.4	7549.4	30688
compio	listener	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	4	512	285659	289553	218	4	284.119	70.028	6189.9	11834.2	17232
compio	caller	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	5	512	290110	290110	132	0	0.000	10.332	2797.7	7480.7	50104
compio	listener	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	5	512	287181	290077	132	1	231.188	70.013	6557.4	13228.0	20304
compio	caller	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	6	512	290239	290239	305	0	0.000	10.311	2793.6	7444.9	39776
compio	listener	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	6	512	286523	290239	305	2	203.434	70.012	5970.8	11723.3	17116
compio	caller	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	7	512	285612	285612	452	0	0.000	10.110	2694.6	7376.4	26516
compio	listener	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	7	512	283352	285612	452	24	50.731	70.014	5848.9	11337.2	17100
